"product_id","twf","hdf","pwf","osf","rnf","simultaneous_failures"
"H35323",1,0,1,1,0,3
"M16184",0,0,1,1,0,2
"L48676",0,0,1,1,0,2
"L50791",1,0,0,0,1,2
"L51034",0,0,1,1,0,2
"L51123",0,0,1,1,0,2
"L51434",0,1,1,0,0,2
"M19202",0,1,1,0,0,2
"L51550",0,1,0,1,0,2
"L51563",0,1,0,1,0,2
"L51597",0,1,1,0,0,2
"L51642",0,1,0,1,0,2
"L51822",0,1,0,1,0,2
"L51823",0,1,0,1,0,2
"L51909",0,1,0,1,0,2
"M20254",0,0,1,1,0,2
"M20261",1,0,0,1,0,2
"L53428",0,0,1,1,0,2
"L54263",0,0,1,1,0,2
"M23706",1,0,0,1,0,2
"M23786",0,0,1,1,0,2
"L56264",0,0,1,1,0,2
"L47249",0,0,1,1,0,2
"L57154",0,0,1,1,0,2
